"Chateau de Vincennes","chateau+de+vincennes"
"Berault","berault"
"Saint-Mande","saint+mande"
"Porte de Vincennes","porte+de+vincennes"
"Nation","nation"
"Reuilly-Diderot","reuilly+diderot"
"Gare de Lyon","gare+de+lyon"
"Bastille","bastille"
"Saint-Paul (Le Marais)","saint+paul+(le+marais)"
"Hotel de Ville","hotel+de+ville"
"Chatelet","chatelet"
"Louvre-Rivoli","louvre+rivoli"
"Palais-Royal (Musee du Louvre)","palais+royal+(musee+du+louvre)"
"Tuileries","tuileries"
"Concorde","concorde"
"Champs-Elysees-Clemenceau","champs+elysees+clemenceau"
"Franklin-Roosevelt","franklin+roosevelt"
"George V","george+v"
"Charles de Gaulle-Etoile","charles+de+gaulle+etoile"
"Argentine","argentine"
"Porte Maillot","porte+maillot"
"Les Sablons (Jardin d'acclimatation)","les+sablons+(jardin+d'acclimatation)"
"Pont de Neuilly","pont+de+neuilly"
"Esplanade de la Defense","esplanade+de+la+defense"
"La Defense (Grande Arche)","la+defense+(grande+arche)"
