"Boulogne Pont de Saint-Cloud","boulogne+pont+de+saint+cloud"
"Boulogne-Jean-Jaures","boulogne+jean+jaures"
"Porte d'Auteuil","porte+d'auteuil"
"Michel-Ange-Molitor","michel+ange+molitor"
"Chardon-Lagache","chardon+lagache"
"Mirabeau","mirabeau"
"Javel-Andre-Citroen","javel+andre+citroen"
"Charles Michels","charles+michels"
"Avenue Emile-Zola","avenue+emile+zola"
"La Motte-Picquet-Grenelle","la+motte+picquet+grenelle"
"Segur","segur"
"Duroc","duroc"
"Vaneau","vaneau"
"Sevres-Babylone","sevres+babylone"
"Mabillon","mabillon"
"Odeon","odeon"
"Cluny-La Sorbonne","cluny+la+sorbonne"
"Maubert-Mutualite","maubert+mutualite"
"Cardinal-Lemoine","cardinal+lemoine"
"Jussieu","jussieu"
"Gare d'Austerlitz","gare+d'austerlitz"
"Eglise d'Auteuil","eglise+d'auteuil"
"Michel-Ange-Auteuil","michel+ange+auteuil"
