"Mairie d'Issy","mairie+d'issy"
"Corentin-Celton","corentin+celton"
"Porte de Versailles","porte+de+versailles"
"Convention","convention"
"Vaugirard (Adolphe Cherioux)","vaugirard+(adolphe+cherioux)"
"Volontaires","volontaires"
"Pasteur","pasteur"
"Falguiere","falguiere"
"Montparnasse-Bienvenue","montparnasse+bienvenue"
"Notre-Dame des Champs","notre+dame+des+champs"
"Rennes","rennes"
"Sevres-Babylone","sevres+babylone"
"Rue du Bac","rue+du+bac"
"Solferino","solferino"
"Assemblee Nationale","assemblee+nationale"
"Concorde","concorde"
"Madeleine","madeleine"
"Saint-Lazare","saint+lazare"
"Trinite-d'Estienne d'Orves","trinite+d'estienne+d'orves"
"Notre-Dame de Lorette","notre+dame+de+lorette"
"Saint-Georges","saint+georges"
"Pigalle","pigalle"
"Abbesses","abbesses"
"Lamarck-Caulaincourt","lamarck+caulaincourt"
"Jules Joffrin","jules+joffrin"
"Marcadet-Poissonniers","marcadet+poissonniers"
"Marx-Dormoy","marx+dormoy"
"Porte de la Chapelle","porte+de+la+chapelle"
"Front Populaire","front+populaire"
