"Chatillon Montrouge","chatillon+montrouge"
"Malakoff-Rue Etienne Dolet","malakoff+rue+etienne+dolet"
"Malakoff-Plateau de Vanves","malakoff+plateau+de+vanves"
"Porte de Vanves","porte+de+vanves"
"Plaisance","plaisance"
"Pernety","pernety"
"Gaite","gaite"
"Montparnasse-Bienvenue","montparnasse+bienvenue"
"Duroc","duroc"
"Saint-Francois-Xavier","saint+francois+xavier"
"Varenne","varenne"
"Invalides","invalides"
"Champs-Elysees-Clemenceau","champs+elysees+clemenceau"
"Miromesnil","miromesnil"
"Saint-Lazare","saint+lazare"
"Liege","liege"
"Place de Clichy","place+de+clichy"
"La Fourche","la+fourche"
"Guy-Moquet","guy+moquet"
"Porte de Saint-Ouen","porte+de+saint+ouen"
"Garibaldi","garibaldi"
"Mairie de Saint-Ouen","mairie+de+saint+ouen"
"Carrefour-Pleyel","carrefour+pleyel"
"Saint-Denis - Porte de Paris","saint+denis+++porte+de+paris"
"Basilique de Saint-Denis","basilique+de+saint+denis"
"Saint-Denis-Universite","saint+denis+universite"
"Brochant","brochant"
"Porte de Clichy","porte+de+clichy"
"Mairie de Clichy","mairie+de+clichy"
"Gabriel-Peri","gabriel+peri"
"Les Agnettes","les+agnettes"
"Asnieres-Gennevilliers Les Courtilles","asnieres+gennevilliers+les+courtilles"
