"Gallieni (Parc de Bagnolet)","gallieni+(parc+de+bagnolet)"
"Porte de Bagnolet","porte+de+bagnolet"
"Gambetta","gambetta"
"Pere-Lachaise","pere+lachaise"
"Rue Saint-Maur","rue+saint+maur"
"Parmentier","parmentier"
"Republique","republique"
"Temple","temple"
"Arts-et-Metiers","arts+et+metiers"
"Reaumur-Sebastopol","reaumur+sebastopol"
"Sentier","sentier"
"Bourse","bourse"
"Quatre Septembre","quatre+septembre"
"Opera","opera"
"Havre-Caumartin","havre+caumartin"
"Saint-Lazare","saint+lazare"
"Europe","europe"
"Villiers","villiers"
"Malesherbes","malesherbes"
"Wagram","wagram"
"Pereire","pereire"
"Porte de Champerret","porte+de+champerret"
"Louise Michel","louise+michel"
"Anatole-France","anatole+france"
"Pont de Levallois-Becon","pont+de+levallois+becon"
