"Porte de Clignancourt","porte+de+clignancourt"
"Simplon","simplon"
"Marcadet-Poissonniers","marcadet+poissonniers"
"Chateau Rouge","chateau+rouge"
"Barbes-Rochechouart","barbes+rochechouart"
"Gare du Nord","gare+du+nord"
"Gare de l'Est (Verdun)","gare+de+l'est+(verdun)"
"Chateau d'Eau","chateau+d'eau"
"Strasbourg-Saint-Denis","strasbourg+saint+denis"
"Reaumur-Sebastopol","reaumur+sebastopol"
"Etienne Marcel","etienne+marcel"
"Les Halles","les+halles"
"Chatelet","chatelet"
"Cite","cite"
"Saint-Michel","saint+michel"
"Odeon","odeon"
"Saint-Germain des Pres","saint+germain+des+pres"
"Saint-Sulpice","saint+sulpice"
"Saint-Placide","saint+placide"
"Montparnasse-Bienvenue","montparnasse+bienvenue"
"Vavin","vavin"
"Raspail","raspail"
"Denfert-Rochereau","denfert+rochereau"
"Mouton-Duvernet","mouton+duvernet"
"Alesia","alesia"
"Porte d'Orleans (General Leclerc)","porte+d'orleans+(general+leclerc)"
"Mairie de Montrouge","mairie+de+montrouge"
