"Bobigny-Pablo-Picasso","bobigny+pablo+picasso"
"Bobigny-Pantin (Raymond Queneau)","bobigny+pantin+(raymond+queneau)"
"Eglise de Pantin","eglise+de+pantin"
"Hoche","hoche"
"Porte de Pantin","porte+de+pantin"
"Ourcq","ourcq"
"Laumiere","laumiere"
"Jaures","jaures"
"Stalingrad","stalingrad"
"Gare du Nord","gare+du+nord"
"Gare de l'Est (Verdun)","gare+de+l'est+(verdun)"
"Jacques-Bonsergent","jacques+bonsergent"
"Republique","republique"
"Oberkampf","oberkampf"
"Richard-Lenoir","richard+lenoir"
"Breguet-Sabin","breguet+sabin"
"Bastille","bastille"
"Quai de la Rapee","quai+de+la+rapee"
"Gare d'Austerlitz","gare+d'austerlitz"
"Saint-Marcel","saint+marcel"
"Campo-Formio","campo+formio"
"Place d'Italie","place+d'italie"
