"Nation","nation"
"Picpus","picpus"
"Bel-Air","bel+air"
"Daumesnil (Felix Eboue)","daumesnil+(felix+eboue)"
"Dugommier","dugommier"
"Bercy","bercy"
"Quai de la Gare","quai+de+la+gare"
"Chevaleret","chevaleret"
"Nationale","nationale"
"Place d'Italie","place+d'italie"
"Corvisart","corvisart"
"Glaciere","glaciere"
"Saint-Jacques","saint+jacques"
"Denfert-Rochereau","denfert+rochereau"
"Raspail","raspail"
"Edgar-Quinet","edgar+quinet"
"Montparnasse-Bienvenue","montparnasse+bienvenue"
"Pasteur","pasteur"
"Sevres-Lecourbe","sevres+lecourbe"
"Cambronne","cambronne"
"La Motte-Picquet-Grenelle","la+motte+picquet+grenelle"
"Dupleix","dupleix"
"Bir-Hakeim (Grenelle)","bir+hakeim+(grenelle)"
"Passy","passy"
"Trocadero","trocadero"
"Boissiere","boissiere"
"Kleber","kleber"
"Charles de Gaulle-Etoile","charles+de+gaulle+etoile"
