"La Courneuve-8-Mai-1945","la+courneuve+8+mai+1945"
"Fort d'Aubervilliers","fort+d'aubervilliers"
"Aubervilliers Pantin (4 Chemins)","aubervilliers+pantin+(4+chemins)"
"Porte de la Villette","porte+de+la+villette"
"Corentin-Cariou","corentin+cariou"
"Crimee","crimee"
"Riquet","riquet"
"Stalingrad","stalingrad"
"Louis Blanc","louis+blanc"
"Chateau Landon","chateau+landon"
"Gare de l'Est (Verdun)","gare+de+l'est+(verdun)"
"Poissonniere","poissonniere"
"Cadet","cadet"
"Le Peletier","le+peletier"
"Chaussee d'Antin (La Fayette)","chaussee+d'antin+(la+fayette)"
"Opera","opera"
"Pyramides","pyramides"
"Palais-Royal (Musee du Louvre)","palais+royal+(musee+du+louvre)"
"Pont Neuf","pont+neuf"
"Chatelet","chatelet"
"Pont Marie (Cite des Arts)","pont+marie+(cite+des+arts)"
"Sully-Morland","sully+morland"
"Jussieu","jussieu"
"Place Monge (Jardin des Plantes)","place+monge+(jardin+des+plantes)"
"Censier-Daubenton","censier+daubenton"
"Les Gobelins","les+gobelins"
"Place d'Italie","place+d'italie"
"Tolbiac","tolbiac"
"Maison Blanche","maison+blanche"
"Porte d'Italie","porte+d'italie"
"Porte de Choisy","porte+de+choisy"
"Porte d'Ivry","porte+d'ivry"
"Pierre et Marie Curie","pierre+et+marie+curie"
"Mairie d'Ivry","mairie+d'ivry"
"Le Kremlin-Bicetre","le+kremlin+bicetre"
"Villejuif-Leo Lagrange","villejuif+leo+lagrange"
"Villejuif-Paul Vaillant Couturier (Hopital Paul Brousse)","villejuif+paul+vaillant+couturier+(hopital+paul+brousse)"
"Villejuif-Louis Aragon","villejuif+louis+aragon"
