"Balard","balard"
"Lourmel","lourmel"
"Boucicaut","boucicaut"
"Felix Faure","felix+faure"
"Commerce","commerce"
"La Motte-Picquet-Grenelle","la+motte+picquet+grenelle"
"Ecole Militaire","ecole+militaire"
"La Tour-Maubourg","la+tour+maubourg"
"Invalides","invalides"
"Concorde","concorde"
"Madeleine","madeleine"
"Opera","opera"
"Richelieu-Drouot","richelieu+drouot"
"Grands Boulevards","grands+boulevards"
"Bonne Nouvelle","bonne+nouvelle"
"Strasbourg-Saint-Denis","strasbourg+saint+denis"
"Republique","republique"
"Filles du Calvaire","filles+du+calvaire"
"Saint-Sebastien-Froissart","saint+sebastien+froissart"
"Chemin Vert","chemin+vert"
"Bastille","bastille"
"Ledru-Rollin","ledru+rollin"
"Faidherbe-Chaligny","faidherbe+chaligny"
"Reuilly-Diderot","reuilly+diderot"
"Montgallet","montgallet"
"Daumesnil (Felix Eboue)","daumesnil+(felix+eboue)"
"Michel Bizot","michel+bizot"
"Porte Doree","porte+doree"
"Porte de Charenton","porte+de+charenton"
"Liberte","liberte"
"Charenton-Ecoles","charenton+ecoles"
"Ecole Veterinaire de Maisons-Alfort","ecole+veterinaire+de+maisons+alfort"
"Maisons-Alfort-Stade","maisons+alfort+stade"
"Maisons-Alfort-Les Juilliottes","maisons+alfort+les+juilliottes"
"Creteil-L'Echat (Hopital Henri Mondor)","creteil+l'echat+(hopital+henri+mondor)"
"Creteil-Universite","creteil+universite"
"Creteil-Prefecture (Hotel de Ville)","creteil+prefecture+(hotel+de+ville)"
"Pointe du Lac","pointe+du+lac"
