"Pont de Sevres","pont+de+sevres"
"Billancourt","billancourt"
"Marcel Sembat","marcel+sembat"
"Porte de Saint-Cloud","porte+de+saint+cloud"
"Exelmans","exelmans"
"Michel-Ange-Molitor","michel+ange+molitor"
"Michel-Ange-Auteuil","michel+ange+auteuil"
"Jasmin","jasmin"
"Ranelagh","ranelagh"
"La Muette","la+muette"
"Rue de la Pompe (Avenue Georges Mandel)","rue+de+la+pompe+(avenue+georges+mandel)"
"Trocadero","trocadero"
"Iena","iena"
"Alma-Marceau","alma+marceau"
"Franklin-Roosevelt","franklin+roosevelt"
"Saint-Philippe du Roule","saint+philippe+du+roule"
"Miromesnil","miromesnil"
"Saint-Augustin","saint+augustin"
"Havre-Caumartin","havre+caumartin"
"Chaussee d'Antin (La Fayette)","chaussee+d'antin+(la+fayette)"
"Richelieu-Drouot","richelieu+drouot"
"Grands Boulevards","grands+boulevards"
"Bonne Nouvelle","bonne+nouvelle"
"Strasbourg-Saint-Denis","strasbourg+saint+denis"
"Republique","republique"
"Oberkampf","oberkampf"
"Saint-Ambroise","saint+ambroise"
"Voltaire (Leon Blum)","voltaire+(leon+blum)"
"Charonne","charonne"
"Rue des Boulets","rue+des+boulets"
"Nation","nation"
"Buzenval","buzenval"
"Maraichers","maraichers"
"Porte de Montreuil","porte+de+montreuil"
"Robespierre","robespierre"
"Croix-de-Chavaux (Jacques Duclos)","croix+de+chavaux+(jacques+duclos)"
"Mairie de Montreuil","mairie+de+montreuil"
