"Gare de l'Est","gare+de+l'est"
"Haussmann-Saint-Lazare","haussmann+saint+lazare"
"Magenta","magenta"
"Rosa Parks","rosa+parks"
"Pantin","pantin"
"Noisy-le-Sec","noisy+le+sec"
"Bondy","bondy"
"Le Raincy Villemomble Montfermeil","le+raincy+villemomble+montfermeil"
"Gagny","gagny"
"Le Chenay Gagny","le+chenay+gagny"
"Chelles Gournay","chelles+gournay"
"Rosny-Bois-Perrier","rosny+bois+perrier"
"Rosny-sous-Bois","rosny+sous+bois"
"Val de Fontenay","val+de+fontenay"
"Nogent Le-Perreux","nogent+le+perreux"
"Les Boullereaux Champigny","les+boullereaux+champigny"
"Villiers-sur-Marne Plessis-Trevise","villiers+sur+marne+plessis+trevise"
"Les Yvris Noisy-le-Grand","les+yvris+noisy+le+grand"
"Emerainville Pontault-Combault","emerainville+pontault+combault"
"Roissy-en-Brie","roissy+en+brie"
"Ozoir-la-Ferriere","ozoir+la+ferriere"
"Gretz-Armainvilliers","gretz+armainvilliers"
"Tournan","tournan"
