"Pont Garigliano - Hopital Europeen George Pompidou","pont+garigliano+++hopital+europeen+george+pompidou"
"Balard","balard"
"Desnouettes","desnouettes"
"Porte de Versailles - Parc des Expositions","porte+de+versailles+++parc+des+expositions"
"Georges Brassens","georges+brassens"
"Brancion","brancion"
"Porte de Vanves","porte+de+vanves"
"Didot","didot"
"Jean Moulin","jean+moulin"
"Porte d'Orleans","porte+d'orleans"
"Montsouris","montsouris"
"Cite Universitaire","cite+universitaire"
"Stade Charlety - Porte de Gentilly","stade+charlety+++porte+de+gentilly"
"Poterne des Peupliers","poterne+des+peupliers"
"Porte d'Italie","porte+d'italie"
"Porte de Choisy","porte+de+choisy"
"Porte d'Ivry","porte+d'ivry"
"Maryse Bastie","maryse+bastie"
"Avenue de France","avenue+de+france"
"Baron le Roy","baron+le+roy"
"Porte de Charenton","porte+de+charenton"
"Porte Doree","porte+doree"
"Montempoivre","montempoivre"
"Alexandra David-Neel","alexandra+david+neel"
"Porte de Vincennes","porte+de+vincennes"
