"Porte de Vincennes","porte+de+vincennes"
"Porte de Montreuil","porte+de+montreuil"
"Marie de Miribel","marie+de+miribel"
"Porte de Bagnolet","porte+de+bagnolet"
"Severine","severine"
"Adrienne Bolland","adrienne+bolland"
"Porte des Lilas","porte+des+lilas"
"Hopital Robert Debre","hopital+robert+debre"
"Butte du Chapeau Rouge","butte+du+chapeau+rouge"
"Porte de Pantin - Parc de la Villette","porte+de+pantin+++parc+de+la+villette"
"Delphine Seyrig","delphine+seyrig"
"Ella Fitzgerald - Grands Moulins de Pantin","ella+fitzgerald+++grands+moulins+de+pantin"
"Porte de la Villette - Cite des Sciences et de l'Industrie","porte+de+la+villette+++cite+des+sciences+et+de+l'industrie"
"Canal Saint-Denis","canal+saint+denis"
"Rosa Parks","rosa+parks"
"Porte d'Aubervilliers","porte+d'aubervilliers"
"Colette Besson","colette+besson"
"Porte de la Chapelle","porte+de+la+chapelle"
"Diane Arbus - Porte des Poissonniers","diane+arbus+++porte+des+poissonniers"
"Porte de Clignancourt - Puces de Saint-Ouen","porte+de+clignancourt+++puces+de+saint+ouen"
"Angelique Compoint - Porte de Montmartre","angelique+compoint+++porte+de+montmartre"
"Porte de Saint-Ouen","porte+de+saint+ouen"
"Epinettes - Pouchet","epinettes+++pouchet"
"Honore de Balzac","honore+de+balzac"
"Porte de Clichy - Tribunal de Paris","porte+de+clichy+++tribunal+de+paris"
"Porte d'Asnieres - Marguerite Long","porte+d'asnieres+++marguerite+long"
