"Arboretum","arboretum"
"Notre-Dame-Des-Anges","notre+dame+des+anges"
"Clichy-Montfermeil","clichy+montfermeil"
"Romain Rolland","romain+rolland"
"Clichy-Sous-Bois - Mairie","clichy+sous+bois+++mairie"
"Maurice Audin","maurice+audin"
"Leon Blum","leon+blum"
"Republique - Marx Dormoy","republique+++marx+dormoy"
"Gare de Gargan","gare+de+gargan"
"Gare des Pavillons Sous Bois","gare+des+pavillons+sous+bois"
"Gare d'Allee de la Tour Rendez Vous","gare+d'allee+de+la+tour+rendez+vous"
"Gare des Coquetiers","gare+des+coquetiers"
"La Remise a Jorelle","la+remise+a+jorelle"
"Gare de Bondy","gare+de+bondy"
