"Garges-Sarcelles RER","garges+sarcelles+rer"
"Locheres","locheres"
"Paul Valery","paul+valery"
"Les Flanades","les+flanades"
"Les Cholettes","les+cholettes"
"Butte Pinson (Parc Regional)","butte+pinson+(parc+regional)"
"Jacques Prevert","jacques+prevert"
"Alcide d'Orbigny","alcide+d'orbigny"
"Mairie de Pierrefitte","mairie+de+pierrefitte"
"Suzanne Valadon","suzanne+valadon"
"Joncherolles","joncherolles"
"Petit Pierrefitte","petit+pierrefitte"
"Guynemer (Stade Auguste Delaune)","guynemer+(stade+auguste+delaune)"
"Roger Semat","roger+semat"
"Baudelaire","baudelaire"
"Marche de Saint-Denis","marche+de+saint+denis"
