"Porte de l'Essonne","porte+de+l'essonne"
"Aeroport d'Orly","aeroport+d'orly"
"Coeur d'Orly","coeur+d'orly"
"Caroline Aigle (Orlyfret)","caroline+aigle+(orlyfret)"
"Helene Boucher (Orlytech)","helene+boucher+(orlytech)"
"La Fraternelle","la+fraternelle"
"Robert Schuman (Parc Silic Centre)","robert+schuman+(parc+silic+centre)"
"Saarinen (Parc Silic Nord)","saarinen+(parc+silic+nord)"
"Porte de Rungis","porte+de+rungis"
"Place de la Logistique (Plateforme Sogaris)","place+de+la+logistique+(plateforme+sogaris)"
"La Belle Epine","la+belle+epine"
"Porte de Thiais (Marche International)","porte+de+thiais+(marche+international)"
"Auguste Perret (Cimetiere Parisien)","auguste+perret+(cimetiere+parisien)"
"Bretagne","bretagne"
"Moulin Vert","moulin+vert"
"Domaine Cherioux","domaine+cherioux"
"Lamartine","lamartine"
"Villejuif - Louis Aragon","villejuif+++louis+aragon"
