"Saint-Denis - Porte de Paris","saint+denis+++porte+de+paris"
"Pierre de Geyter","pierre+de+geyter"
"Saint-Denis - Gare","saint+denis+++gare"
"Paul Eluard","paul+eluard"
"Delaunay-Belleville","delaunay+belleville"
"Blumenthal","blumenthal"
"Les Mobiles","les+mobiles"
"Les Beatus","les+beatus"
"Rose Bertin (Centre Commercial l'Ilo)","rose+bertin+(centre+commercial+l'ilo)"
"Lacepede","lacepede"
"Gilbert Bonnemaison","gilbert+bonnemaison"
"Epinay-Sur-Seine - Gare","epinay+sur+seine+++gare"
"Epinay - Orgemont","epinay+++orgemont"
